stage,parameter,parameter_value,baseline_value,file,label,duration_s,sample_rate,frame_size_ms,hop_ms,n_mels,fmin_hz,fmax_hz,representation_type,n_mfcc,mel_scale,normalization_method,dynamic_range_db,quant_bits,time_downsample_factor,time_downsample_method,frequency_mask,snr_db,noise_type,reconstruction_method,griffin_lim_iters,whisper_model,win_length,hop_length,n_fft,representation_shape,representation_values,compression_rate,waveform_snr_db,mel_mse,original_transcript,original_wer,original_command_accuracy,reconstructed_transcript,reconstructed_wer,reconstructed_command_accuracy,asr_accuracy,reconstructed_wav
example_frame_size,frame_size_ms,10,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_0.wav,yes,1.0,16000,10,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,160,160,256,80x101,8080,0.9900990099009901,-19.17785074318682,0.0,Yes.,0.0,1.0,,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_10_yes_004ae714_nohash_0.wav
example_frame_size,frame_size_ms,10,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_1.wav,yes,0.9288125,16000,10,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,160,160,256,80x93,7440,0.9987231182795699,-22.359149581585424,0.0,Yes.,0.0,1.0,,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_10_yes_004ae714_nohash_1.wav
example_frame_size,frame_size_ms,10,25,/Users/home2/Desktop/xy/year1 /summer project/yes/00970ce1_nohash_0.wav,yes,1.0,16000,10,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,160,160,256,80x101,8080,0.9900990099009901,-12.548670189873416,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_10_yes_00970ce1_nohash_0.wav
example_frame_size,frame_size_ms,10,25,/Users/home2/Desktop/xy/year1 /summer project/yes/00f0204f_nohash_0.wav,yes,1.0,16000,10,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,160,160,256,80x101,8080,0.9900990099009901,-23.36117913329401,0.0,Yes.,0.0,1.0,,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_10_yes_00f0204f_nohash_0.wav
example_frame_size,frame_size_ms,10,25,/Users/home2/Desktop/xy/year1 /summer project/no/012c8314_nohash_0.wav,no,1.0,16000,10,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,160,160,256,80x101,8080,0.9900990099009901,-22.267416896870664,0.0,No.,0.0,1.0,,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_10_no_012c8314_nohash_0.wav
example_frame_size,frame_size_ms,10,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_0.wav,no,1.0,16000,10,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,160,160,256,80x101,8080,0.9900990099009901,-14.392142262187635,0.0,No.,0.0,1.0,,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_10_no_0132a06d_nohash_0.wav
example_frame_size,frame_size_ms,10,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_1.wav,no,1.0,16000,10,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,160,160,256,80x101,8080,0.9900990099009901,-10.466032928149378,0.0,Now,1.0,0.0,,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_10_no_0132a06d_nohash_1.wav
example_frame_size,frame_size_ms,10,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_2.wav,no,1.0,16000,10,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,160,160,256,80x101,8080,0.9900990099009901,-10.0572234778692,0.0,No.,0.0,1.0,,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_10_no_0132a06d_nohash_2.wav
example_frame_size,frame_size_ms,15,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_0.wav,yes,1.0,16000,15,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,240,160,256,80x101,8080,0.9900990099009901,-2.9614731294943253,0.0,Yes.,0.0,1.0,Yes,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_15_yes_004ae714_nohash_0.wav
example_frame_size,frame_size_ms,15,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_1.wav,yes,0.9288125,16000,15,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,240,160,256,80x93,7440,0.9987231182795699,-3.328877491364974,0.0,Yes.,0.0,1.0,Yes,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_15_yes_004ae714_nohash_1.wav
example_frame_size,frame_size_ms,15,25,/Users/home2/Desktop/xy/year1 /summer project/yes/00970ce1_nohash_0.wav,yes,1.0,16000,15,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,240,160,256,80x101,8080,0.9900990099009901,-3.9955077985515235,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_15_yes_00970ce1_nohash_0.wav
example_frame_size,frame_size_ms,15,25,/Users/home2/Desktop/xy/year1 /summer project/yes/00f0204f_nohash_0.wav,yes,1.0,16000,15,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,240,160,256,80x101,8080,0.9900990099009901,-3.96828564775399,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_15_yes_00f0204f_nohash_0.wav
example_frame_size,frame_size_ms,15,25,/Users/home2/Desktop/xy/year1 /summer project/no/012c8314_nohash_0.wav,no,1.0,16000,15,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,240,160,256,80x101,8080,0.9900990099009901,-3.8453005036437657,0.0,No.,0.0,1.0,No.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_15_no_012c8314_nohash_0.wav
example_frame_size,frame_size_ms,15,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_0.wav,no,1.0,16000,15,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,240,160,256,80x101,8080,0.9900990099009901,-3.8546719595254872,0.0,No.,0.0,1.0,Now.,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_15_no_0132a06d_nohash_0.wav
example_frame_size,frame_size_ms,15,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_1.wav,no,1.0,16000,15,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,240,160,256,80x101,8080,0.9900990099009901,-3.4410130604359868,0.0,Now,1.0,0.0,Now,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_15_no_0132a06d_nohash_1.wav
example_frame_size,frame_size_ms,15,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_2.wav,no,1.0,16000,15,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,240,160,256,80x101,8080,0.9900990099009901,-3.903625000074726,0.0,No.,0.0,1.0,Now.,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_15_no_0132a06d_nohash_2.wav
example_frame_size,frame_size_ms,20,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_0.wav,yes,1.0,16000,20,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,320,160,512,80x101,8080,0.9900990099009901,-2.338060615083098,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_20_yes_004ae714_nohash_0.wav
example_frame_size,frame_size_ms,20,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_1.wav,yes,0.9288125,16000,20,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,320,160,512,80x93,7440,0.9987231182795699,-2.639262118215915,0.0,Yes.,0.0,1.0,Yes,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_20_yes_004ae714_nohash_1.wav
example_frame_size,frame_size_ms,20,25,/Users/home2/Desktop/xy/year1 /summer project/yes/00970ce1_nohash_0.wav,yes,1.0,16000,20,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,320,160,512,80x101,8080,0.9900990099009901,-3.020024597679978,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_20_yes_00970ce1_nohash_0.wav
example_frame_size,frame_size_ms,20,25,/Users/home2/Desktop/xy/year1 /summer project/yes/00f0204f_nohash_0.wav,yes,1.0,16000,20,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,320,160,512,80x101,8080,0.9900990099009901,-2.2901400300694323,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_20_yes_00f0204f_nohash_0.wav
example_frame_size,frame_size_ms,20,25,/Users/home2/Desktop/xy/year1 /summer project/no/012c8314_nohash_0.wav,no,1.0,16000,20,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,320,160,512,80x101,8080,0.9900990099009901,-2.6320700300705635,0.0,No.,0.0,1.0,No.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_20_no_012c8314_nohash_0.wav
example_frame_size,frame_size_ms,20,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_0.wav,no,1.0,16000,20,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,320,160,512,80x101,8080,0.9900990099009901,-1.5996232957929273,0.0,No.,0.0,1.0,No.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_20_no_0132a06d_nohash_0.wav
example_frame_size,frame_size_ms,20,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_1.wav,no,1.0,16000,20,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,320,160,512,80x101,8080,0.9900990099009901,-3.666361611615052,0.0,Now,1.0,0.0,Now,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_20_no_0132a06d_nohash_1.wav
example_frame_size,frame_size_ms,20,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_2.wav,no,1.0,16000,20,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,320,160,512,80x101,8080,0.9900990099009901,-4.015423141934669,0.0,No.,0.0,1.0,No.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_20_no_0132a06d_nohash_2.wav
example_frame_size,frame_size_ms,25,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_0.wav,yes,1.0,16000,25,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,400,160,512,80x101,8080,0.9900990099009901,-2.439657619577212,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_25_yes_004ae714_nohash_0.wav
example_frame_size,frame_size_ms,25,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_1.wav,yes,0.9288125,16000,25,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,400,160,512,80x93,7440,0.9987231182795699,-2.5209637288502673,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_25_yes_004ae714_nohash_1.wav
example_frame_size,frame_size_ms,25,25,/Users/home2/Desktop/xy/year1 /summer project/yes/00970ce1_nohash_0.wav,yes,1.0,16000,25,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,400,160,512,80x101,8080,0.9900990099009901,-3.443021457890634,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_25_yes_00970ce1_nohash_0.wav
example_frame_size,frame_size_ms,25,25,/Users/home2/Desktop/xy/year1 /summer project/yes/00f0204f_nohash_0.wav,yes,1.0,16000,25,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,400,160,512,80x101,8080,0.9900990099009901,-2.8119453605016513,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_25_yes_00f0204f_nohash_0.wav
example_frame_size,frame_size_ms,25,25,/Users/home2/Desktop/xy/year1 /summer project/no/012c8314_nohash_0.wav,no,1.0,16000,25,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,400,160,512,80x101,8080,0.9900990099009901,-2.882615333024603,0.0,No.,0.0,1.0,No.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_25_no_012c8314_nohash_0.wav
example_frame_size,frame_size_ms,25,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_0.wav,no,1.0,16000,25,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,400,160,512,80x101,8080,0.9900990099009901,-2.2158658014967987,0.0,No.,0.0,1.0,No.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_25_no_0132a06d_nohash_0.wav
example_frame_size,frame_size_ms,25,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_1.wav,no,1.0,16000,25,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,400,160,512,80x101,8080,0.9900990099009901,-2.326140477609829,0.0,Now,1.0,0.0,Now,1.0,0.0,0.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_25_no_0132a06d_nohash_1.wav
example_frame_size,frame_size_ms,25,25,/Users/home2/Desktop/xy/year1 /summer project/no/0132a06d_nohash_2.wav,no,1.0,16000,25,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,400,160,512,80x101,8080,0.9900990099009901,-3.2735503402518713,0.0,No.,0.0,1.0,No.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_25_no_0132a06d_nohash_2.wav
example_frame_size,frame_size_ms,30,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_0.wav,yes,1.0,16000,30,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,480,160,512,80x101,8080,0.9900990099009901,-2.543051322803011,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_30_yes_004ae714_nohash_0.wav
example_frame_size,frame_size_ms,30,25,/Users/home2/Desktop/xy/year1 /summer project/yes/004ae714_nohash_1.wav,yes,0.9288125,16000,30,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,480,160,512,80x93,7440,0.9987231182795699,-1.8833608248595635,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_30_yes_004ae714_nohash_1.wav
example_frame_size,frame_size_ms,30,25,/Users/home2/Desktop/xy/year1 /summer project/yes/00970ce1_nohash_0.wav,yes,1.0,16000,30,10,80,0,8000,mel,20,linear,none,,0,1,none,none,,white,griffin_lim,16,tiny,480,160,512,80x101,8080,0.9900990099009901,-4.219138342659316,0.0,Yes.,0.0,1.0,Yes.,0.0,1.0,1.0,/Users/home2/Library/CloudStorage/OneDrive-ImperialCollegeLondon/Summer project 2/version 2/example output/reconstructed/example_frame_size_frame_size_ms_30_yes_00970ce1_nohash_0.wav
